timestamp,temp_amb1,date (America/Sao_Paulo)
1774638806012,25.6,2026-03-27 16:13:26.012000-03:00
1774638796156,25.6,2026-03-27 16:13:16.156000-03:00
1774638795482,25.6,2026-03-27 16:13:15.482000-03:00
1774638786152,25.6,2026-03-27 16:13:06.152000-03:00
1774638785485,25.6,2026-03-27 16:13:05.485000-03:00
1774638776170,25.6,2026-03-27 16:12:56.170000-03:00
1774638775486,25.6,2026-03-27 16:12:55.486000-03:00
1774638765938,25.7,2026-03-27 16:12:45.938000-03:00
1774638755979,25.7,2026-03-27 16:12:35.979000-03:00
1774638745948,25.7,2026-03-27 16:12:25.948000-03:00
1774638735976,25.6,2026-03-27 16:12:15.976000-03:00
1774638725993,25.7,2026-03-27 16:12:05.993000-03:00
1774638716155,25.7,2026-03-27 16:11:56.155000-03:00
1774638705604,25.7,2026-03-27 16:11:45.604000-03:00
1774638696032,25.7,2026-03-27 16:11:36.032000-03:00
1774638686126,25.7,2026-03-27 16:11:26.126000-03:00
1774638676021,25.7,2026-03-27 16:11:16.021000-03:00
1774638675581,25.7,2026-03-27 16:11:15.581000-03:00
1774638665934,25.8,2026-03-27 16:11:05.934000-03:00
1774638655925,25.8,2026-03-27 16:10:55.925000-03:00
1774638645929,25.7,2026-03-27 16:10:45.929000-03:00
1774638636297,25.8,2026-03-27 16:10:36.297000-03:00
1774638635712,25.8,2026-03-27 16:10:35.712000-03:00
1774638625964,25.8,2026-03-27 16:10:25.964000-03:00
1774638615650,25.8,2026-03-27 16:10:15.650000-03:00
1774638606014,25.7,2026-03-27 16:10:06.014000-03:00
1774638585976,25.8,2026-03-27 16:09:45.976000-03:00
1774638576017,25.7,2026-03-27 16:09:36.017000-03:00
1774638566049,25.9,2026-03-27 16:09:26.049000-03:00
1774638565530,25.9,2026-03-27 16:09:25.530000-03:00
1774638556217,25.8,2026-03-27 16:09:16.217000-03:00
1774638546032,25.8,2026-03-27 16:09:06.032000-03:00
1774638536171,25.9,2026-03-27 16:08:56.171000-03:00
1774638535741,25.9,2026-03-27 16:08:55.741000-03:00
1774638526041,25.9,2026-03-27 16:08:46.041000-03:00
1774638525536,25.9,2026-03-27 16:08:45.536000-03:00
1774638515998,25.8,2026-03-27 16:08:35.998000-03:00
1774638506052,25.8,2026-03-27 16:08:26.052000-03:00
1774638505574,25.8,2026-03-27 16:08:25.574000-03:00
1774638496009,25.9,2026-03-27 16:08:16.009000-03:00
1774638485983,25.8,2026-03-27 16:08:05.983000-03:00
1774638475677,25.8,2026-03-27 16:07:55.677000-03:00
1774638466198,25.7,2026-03-27 16:07:46.198000-03:00
